web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1574953924-4444","https://www.amazon.com/product-reviews/B018APC4LE/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","J. Ng","Stays on!","May 29, 2017","Great headphones and they stay on no matter what kind of exercise I do. If other headphones have trouble staying on when you're active, these will fit you really well! Worth the 20 bucks I dropped!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Otium-Headphones-Waterproof-Sweatproof-Cancelling/product-reviews/B018APC4LE/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews&sortBy=helpful"
"1574953972-4659","https://www.amazon.com/product-reviews/B018APC4LE/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Li Jia","Good for the price, not for audiophiles","January 16, 2019","This pair of earbuds is decent. It's not great, you get what you get for the price.

First, the sound quality. The sound quality is definitely not audiophile level. It's good for 20 bucks. You can turn the volume up quite loud, but it can't go extremely quiet. Nevertheless, it doesn't leak sound that much. I think that the audio is fine for most people. If you're an audiophile, I don't know why you're looking at 20 dollar earbuds.

Next up, the design and material. I quite like the design of these. The earbuds and ear hooks are black. The rubber piece that connects them is a nice red color. I do have a few complaints. One, the ear hooks are not adjustable. They're flexible and you can bend them however you want, but they don't quite fit around my ears. If you plan on running, I can't guarantee that these will stay in, since I only use the for casual music listening. Also, they are a bit large and stand out a little. After some time using them, I got used to that.

Lastly, the performance. The battery lasts a good few days of constant use. They charge up really fast too - under an hour. To turn them on, you press the power button on the right earbud for a few seconds and it'll beep when connected. The volume buttons are also on the right earbuds. The order is a bit weird though. When wearing them, the volume up button is behind the volume down button. That threw me off a bit. It's nice, however, that there isn't a dangling piece on the wire for the control buttons, which usually make the weight distribution uneven.

I like these earbuds, but if you have a higher budget, I strongly suggest investing in a better pair. I'm not saying that these are bad, Im just saying that for a higher budget, you could probably get something a lot better. If you're budget is tight, these are fine.

EDIT:
For some reason the left earbud now doesn't work. It only works when the rubber wire is in a certain position. You should probably buy the new version instead of this one.

EDIT:
I contacted customer service and they were able to send me a new pair. The communication took a few days because of the different time zone but good customer service nonetheless.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Otium-Headphones-Waterproof-Sweatproof-Cancelling/product-reviews/B018APC4LE/ref=cm_cr_arp_d_paging_btm_24?ie=UTF8&pageNumber=24&reviewerType=all_reviews&sortBy=helpful"
"1574953944-4525","https://www.amazon.com/product-reviews/B018APC4LE/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Dr Peter Cumberland","If you want hassle free headphones over bluetooth then look elsewhere there are much better options.","March 10, 2018","The headphones themselves are of a decent quality and the volume level beats the Plantronics hands down. However there is a drawback and that has to do with bluetooth. It is a rare occasion when any bluetooth compatible device can see the headphones let alone connect successfully to them. And it doesn't seem to matter if these headphones are the only bluetooth device when you try and connect from a PC or tablet or cell phone (all with bluetooth compatibility).Invariably the headphones are never found and if they are they fail to connect. Replace them with Plantronics and success every time. So this is an issue only for these headphones. If you want hassle free headphones over bluetooth then look elsewhere there are much better options.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Otium-Headphones-Waterproof-Sweatproof-Cancelling/product-reviews/B018APC4LE/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews&sortBy=helpful"
"1574953946-4538","https://www.amazon.com/product-reviews/B018APC4LE/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Fadi A.","Good for the price!","October 27, 2018","I needed wireless headphones for working out and decided to give these a try since I bought another pair of Otium wireless headphones before and was satisfied with the product. The headphones are as pictured and it comes with the case, extra earbuds, and a charging cable. Pairing it with my phone was easy; all I had to do is hold the power button for about 6-7 seconds until it entered pairing mode and it connected easily to my phone. I still haven't tried it at the gym since I just got it, but I tried shaking my head and it didn't fall or even feel like it is going to fall. The reason I gave it 4 stars is because the sound quality could be better in my opinion; however, since I'll be using it only when working out, I don't really care about the sound quality as much as long as it is good enough since I already have other headphones that I use when I want to listen to music while I'm chilling or not doing extreme physical activity.  I just hope that it won't fall out of my ears when working out and that it holds up well over time.
Overall, the headphones are good for the price.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Otium-Headphones-Waterproof-Sweatproof-Cancelling/product-reviews/B018APC4LE/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews&sortBy=helpful"
"1574953981-4702","https://www.amazon.com/product-reviews/B018APC4LE/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Joy","Comfortable, waterproof and sounds good.","September 12, 2019","These headphones exceeded my expectations. The fact that they come with three different sizes of covers was really appreciated since that style of headphones doesn’t usually fit me. They came in a zipper pouch which is always nice to keep them in. My biggest complaint about my previous Bluetooth headphones was that they were always being pulled out of my ears when I turned my head. Because the “remote” is on the earpiece, they stay in my ears even when I turn my head. I have also been really impressed how long the battery lasts. Overall an awesome buy!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Otium-Headphones-Waterproof-Sweatproof-Cancelling/product-reviews/B018APC4LE/ref=cm_cr_arp_d_paging_btm_28?ie=UTF8&pageNumber=28&reviewerType=all_reviews&sortBy=helpful"
"1574953928-4459","https://www.amazon.com/product-reviews/B018APC4LE/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Amazon User","Great when they work, but on my 3rd pair","March 24, 2019","I use these almost entirely at the gym, so they see about 4-5 hours of use a week. I bought them mainly because of their advertised water resistance - I tend to sweat heavily when working out, and have had poor luck with other headphones.

The good: The battery life, and charge time, both seem great. My ""charging habits"", such as they are - mean plugging them in in my car a couple times week when I happen to think about it. Usually for less than 20 minutes. I've never once been caught by a dead, or even low, battery - so that's nice.

They stay in place, for me, very well. No amount of activity, changing position, or running seems to shake them loose - which is another reason I like these, with the small ear-wraps, over the in-the-ear-only ones.

They also pair very quickly and easily - exactly like Bluetooth stuff is meant to.

The bad: Acknowledging the sweat issue, I've had poor luck with reliability on these. My first pair lasted maybe 4 months. I ordered a second pair, figuring I had gotten my moneys worth from the first. The second pair worked once. The very second time/day I went to use them they were totally dead.

Amazon replaced the two day old set with my current pair. They're now about 6 or 7 weeks old, and I'm beginning to hear the telltale crackle I did right before my pair stopped working.

EDIT: To their credit, I followed up with Otium when the third pair finally died a couple months in. They sent me a new pair, under warranty, with very little hassle. We'll see how long the new set lasts.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Otium-Headphones-Waterproof-Sweatproof-Cancelling/product-reviews/B018APC4LE/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews&sortBy=helpful"
"1574953968-4643","https://www.amazon.com/product-reviews/B018APC4LE/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Matt Koppenheffer","Good, maybe even better, depending on you and your use","February 24, 2019","Let me start by saying you'll have trouble doing a whole lot better on the price/performance mix. I paid $19, and I can't expect a whole lot more for that price. That said, I rated three stars because these just haven't worked out well for what I primarily bought them for: that is, bluetooth headphones for running.

First, the pros:
- Easy to pair
- Good sound quality
- Comfortable enough wearing around the house
- Pretty decent water-resisting performance (more on this below)
- Nobody's complained about sound quality when I've taken phone calls on these
- Battery life is solid (I can go at least three or four runs without charging)

Cons:
- When I'm running they just don't stay in my ears. I have to wear a headband and pull it down a bit over the buds to keep them from falling out completely while I'm running. Even so, I end up having to push them in and adjust them constantly during my run. Ear shapes are different though, so that may not be the case for everyone.
- They can get really uncomfortable when they get sweaty. For me at least, when sweat gets into my ears, these can suction into my ears really, really tightly and get very uncomfortable. At that point I have to pop them back out and... oh, hey they're falling out again.
- One half of the volume/track change is no longer working. I'm pretty sure this happened due to sweat and moisture exposure. I haven't been particularly kind to these as far as moisture goes, but they are listed as waterproof.
- The rubber connector between the two buds always seems to swing to one side or the other and then catch on my neck and pull out one of the buds if I move my head. Not sure if that makes sense, but the bottom line is that the ""stickiness"" of that rubber connector causes a lot of pulling and discomfort.

The bottom line is that if you want these just as a solid, low-cost pair of bluetooth headphones for around the house, walking around the city, making the occasional phone call, and doing lower-impact sports (like biking maybe?), these could be a good choice. But if you're looking for a pair of running headphones, these may not be the right pick -- your ears are probably shaped differently than mine, and these may stay in better for you, but I've gone through months of frustration trying (unsuccessfully) to keep these in my ears.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Otium-Headphones-Waterproof-Sweatproof-Cancelling/product-reviews/B018APC4LE/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&pageNumber=22&reviewerType=all_reviews&sortBy=helpful"
"1574953974-4672","https://www.amazon.com/product-reviews/B018APC4LE/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Slacker-Senpai","Not Bad","October 5, 2017","I'm a pretty active runner and boxer and these are absolutely perfect for the exercises I do on a near daily basis. When I would go on a run with normal headphones they would always pop out or my dumb arms would get tangled up in them. These headphones are great for running because they're lightweight and have a piece of rubber which wraps around your ear itself to keep hold. They are a bit uncomfortable at first if your ears aren't used to the plastic fitting that goes in the ear itself, but you will quickly get used to that. As for boxing I use these with music to keep rhythm when shadow boxing or using the heavy bag and they surprisingly stay snug in my ear during the high intensity movements, something other headphones aren't good at doing, plus no stupid cable to get in the way. The sound quality is amazing and the buttons are such a big help so I don't constantly have to pull my phone out and waste time fumbling to get in and change a song or artist I'm listening to. They also seem to handle swear well, and the battery life is phenomenal. I've gone 2 days without needing a recharge, meaning 2 full work outs and listening to music at work for 2 days. I couldn't be happier with this $20 pair of headphones.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Otium-Headphones-Waterproof-Sweatproof-Cancelling/product-reviews/B018APC4LE/ref=cm_cr_arp_d_paging_btm_25?ie=UTF8&pageNumber=25&reviewerType=all_reviews&sortBy=helpful"
"1574953974-4671","https://www.amazon.com/product-reviews/B018APC4LE/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Amanda S","Love these, especially for the price.","August 30, 2017","These are good headphones for the price with a few exceptions.

When they are low battery, you might as well stop using them, this is especially frustrating mid workout.  They will continue to beep and tell you low battery every minute or two and then eventually shut off.  There is not way to gauge how much charge they actually have.

The loops to go around your ear are also worthless, they don't even touch you ear and the earbuds themselves stick out about an inch or so from your ear so they look a bit ridiculous.

Overall quality and sound however is good and they do stay in place.  I have yet to do any outdoor runs but on a walk, the wind was definitely an interference.

***EDIT for 1 year use***
I stand by my past review but would like to update even further after almost 1 year of use.  The loops around your ear, I will edit to say, I found if I twist the entire piece back they sit much better.

This update is mainly for their customer service.  One ear bud fell off while I was at the gym, not sure how but it was hanging by the wire.  I contacted Otium and reference their 1 year warranty.  They gave me the best customer service, emailing promptly with updates and I received a brand new pair not even a week later.  I'd buy from them again and again.

Oh, and I have yet to run with them outdoors so I still am not sure about wind interference there.  I'm guessing it should be fine though.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Otium-Headphones-Waterproof-Sweatproof-Cancelling/product-reviews/B018APC4LE/ref=cm_cr_arp_d_paging_btm_25?ie=UTF8&pageNumber=25&reviewerType=all_reviews&sortBy=helpful"
"1574953950-4560","https://www.amazon.com/product-reviews/B018APC4LE/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","42 Cogs","Met Expectations Plus!","April 23, 2018","It's been just under a year since I bought these an I am just now getting to a point where I need to replace them.  I use them during work, a complete shift and it has kept its charge as promised.  Connection has been solid and accurate with the Stop/Play power switch.  Great noise-cancelling and fits comfortably around the ears.
I honestly think these would've lasted longer but, like I mentioned, I literally used these every day through my work day.  I work in commercial printing and I'm constantly moving, throwing cases and handling paper.  The cord between both ear pieces I think started to become strained and, although they technically still work, the sound is now shoddy when I move my head about.
On that note, I also will at times keep only one ear piece in while listening to podcasts and the second piece easily ""clips"" to my collar.  Worth every penny.  I'm aiming to get two more so I have some for the house as well as work.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Otium-Headphones-Waterproof-Sweatproof-Cancelling/product-reviews/B018APC4LE/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews&sortBy=helpful"
