web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1574952491-2405","https://www.amazon.com/product-reviews/B0756CYWWD/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Happy In Hilo","Transformational!","August 24, 2019","I LOVE my new pair of Bose QuietComfort 35 II Wireless Bluetooth Headphones!  I purchased these in the Rose Gold color and appreciate that Bose offers a color apart from the usual black and silver.  I'm not up on all the features and intricacies of this technology, but what I can share is that there is a significant difference in what you're able to hear/not hear as soon as you put them on.  I put them on while the volume on my tv was in the 20-25 range and although the noise cancelling feature was on high, I was still able to clearly hear the speaking coming from the tv, just at a much lower volume--comparable to hearing a quiet conversation in the background and just enough to eliminate it as a distraction.  Once I started to play music, the sound from the tv was totally eliminated and I heard sounds, tones and acoustics I had never heard before--the clarity of the music and melody was much more apparent.  As I mentioned, transformational!  I can't wait to try them out on a long flight!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Bose-QuietComfort-Bluetooth-Headphones-Noise-Cancelling/product-reviews/B0756CYWWD/ref=cm_cr_arp_d_paging_btm_20?ie=UTF8&pageNumber=20&reviewerType=all_reviews&sortBy=helpful"
"1574952468-2292","https://www.amazon.com/product-reviews/B0756CYWWD/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Extract0r","Very comfortable but sound quality is mediocre at best","November 27, 2018","My silver QC35 II arrived with a deep crease in the right ear cushion.  You can say it is a minor cosmetic issue, but it is annoying on a brand new product.  Anyway, here is my brief review of this product.

1.  These headphones are very comfortable to wear, but when the noise callenation is turned on, I feel a weird pressure sensation and minor pain in my ears.
2.  The iOS app is minimalistic and there is no EQ adjustment option.
3.  The volume is way too low.  I have to crank it up to 85-90% to achieve what decent earphones put out at 60%.  (Btw, I have a very good hearing and never use excessive volume when listening to music.)
4.  The system voice has a horrendously funny accent.  Everytime it connects to my iPad, it makes me giggle.
5.  The biggest problem is the poor audio quality.  Everything just sounds very flat and unremarkable.  High and mid range sound very dull and muted and bass is just average.  Shockingly, the sound quality of these $300 headphones is comparable to the $10 Apple earphones that came with my iPhone.
6.  Multi pairing is very convenient when swapping between an iPhone and an iPad.  You don’t have to disconnect and reconnect the bluetooth connection, but sometimes it gets confused and wouldn’t play from the correct source device.
7.  Nice clicky physical buttons for controls.
8.  Bose should have killed the Micro USB.  Micro USB is DEAD.

Here is my score for Bose QC35 II and Sony 1000XM3.  I have owned both and this is my subjective opinion.
Bose QC35 II (9.5/9.5/10/5/8)
Sony 1000XM3 (8.5/8.5/9/9.5/8)
(Design/Build Qualify & Material/Comfort/Sound Quality/Features)","2.0 out of 5 stars","Next page→","https://www.amazon.com/Bose-QuietComfort-Bluetooth-Headphones-Noise-Cancelling/product-reviews/B0756CYWWD/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews&sortBy=helpful"
"1574952476-2331","https://www.amazon.com/product-reviews/B0756CYWWD/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","hockeyANDfootball","Bluetooth Connectivity is Awful","December 22, 2018","Do NOT buy these. The headphones are an embarrassment at $300. I've used various $50 headphones that have 100 times the reliability of these Bose headphones when it comes to keeping a bluetooth connection. I initially bought both these and the Sony XM3s with the intention of comparing sound/fit/noise cancelling/etc. I haven't even tried out the XM3s yet (I'll update this after I do), but regardless, I will be returning the QC 35 II no matter what.

Here's how my hour of usage has gone. Opens box, connects headphones to phone in 30 seconds. Good start. Noise cancelling is great. Sound is good, but not too much better than some cheaper pairs of headphones I have. Then I proceed to walk 10 feet away from my phone and the connectivity starts to cut out. At 15 feet it disconnects completely. WTF is this? So I unpair headphones and restart everything. Maybe it was a fluke. Nope...the range on my pair of headphones is literally 10 feet. Pretty unbelievable.

I routinely use 3 other bluetooth devices with my phone and I've never experienced connectivity issues.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Bose-QuietComfort-Bluetooth-Headphones-Noise-Cancelling/product-reviews/B0756CYWWD/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&reviewerType=all_reviews&sortBy=helpful"
"1574952498-2433","https://www.amazon.com/product-reviews/B0756CYWWD/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Nikoli Kolesnikov","Excellent noise cancellation, premium sound, exceptional comfort!","March 27, 2019","As a college student I spend around 15-20 hours in my college's library writing papers, studying, or making video calls. At this particular campus the HVAC system is very loud, making it hard to concentrate on my work. After researching about Bose and their high reputation in noise cancellation, I knew that I had to try this product out.

Once I received this pair of headphones, I was immediately blown away at the noise cancellation performance, and reminded of how much my ears ring. 95% of the sound I was exposed to during my study sessions were now gone, making my sessions much more productive than before.

In terms of sound quality, I have heard from Sony users that their product is superior in sound quality compared to bose, with much deeper bass. If that is your main concern, I would consider researching that product to determine if that fits your needs. However, Bose has tremendous bass and the highs and lows hit just fine for my liking!

For gaming, I use these mainly to chat in discord with friends, but the ""in game"" sounds are very similar to a High-end pair of Astro headphones, if that means anything. Overall, I rate this product 5 stars, as I am still impressed with the performance in noise cancellation, audio quality, battery life, and durable build quality.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Bose-QuietComfort-Bluetooth-Headphones-Noise-Cancelling/product-reviews/B0756CYWWD/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&pageNumber=23&reviewerType=all_reviews&sortBy=helpful"
"1574952487-2386","https://www.amazon.com/product-reviews/B0756CYWWD/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","joe","First time going with Bose and wow!","September 29, 2019","The noise cancellation is outstanding! I can have 3 large fans set to high and these will completely cancel them out. I can't wait to try these on an airplane! The sound quality is the best I've experienced so far in my life. My ""top of the line"" gaming headset is a bit of a let down compared to these. I bought a Bluetooth dongle just so I could use these with my computer, yeah I my MB doesn't have BT.

They breath well and don't make your head/ears hot or sweaty. I think I have larger ears but these fit just fine. I do have to adjust about every hour or so because they press on my Tragus but that's it. They are nice and light weight.

I am still looking but haven't found anything better than these. I do recommend them!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Bose-QuietComfort-Bluetooth-Headphones-Noise-Cancelling/product-reviews/B0756CYWWD/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&pageNumber=18&reviewerType=all_reviews&sortBy=helpful"
"1574952485-2373","https://www.amazon.com/product-reviews/B0756CYWWD/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","erd","Excellent headphones","September 17, 2019","I LOVE these headphones. I’ve had them for a year and 8 months and they’re still working great. I got them to help concentrate in a loud, open floor plan office and they do cancel out a lot of noise. Now I wear them while walking my dog and I really don’t hear anything around me. They connect easily, I wish they didn’t connect to multiple devices at once because that only makes things more complicated- you can only really be connected to one at a time or another device might interfere. I’ve also had a few instances where the headphones have worked improperly and started picking up ambient noise from my surroundings, or the audio gets fuzzy, but that is not a common occurrence. But other than that, they’re very sturdy and durable and worth the money.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Bose-QuietComfort-Bluetooth-Headphones-Noise-Cancelling/product-reviews/B0756CYWWD/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&pageNumber=17&reviewerType=all_reviews&sortBy=helpful"
"1574952474-2324","https://www.amazon.com/product-reviews/B0756CYWWD/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","C. Fraley","Great noise cancelling, comfortable fit","August 13, 2019","I was thrilled at how comfortable and light-weight these headphones are!  I purchased them primarily for air travel, as the drone of the engines really irritates me.  I was expecting some neck stiffness due to wearing these for six hours, but they are so comfortable I've had no problems at all.

I also had the opportunity to wear these at night (in a dorm for a conference, and construction started outside before 6am!).  Again, I was amazed I could sleep with these on, and still get a good night's sleep, even laying on my side.

The sound reproduction is very good--nothing like studio headphones (Sennheiser HD 650s or the like), but certainly way better than any ear buds.  There are now more choices out there than when I bought mine (others have temporarily taken the noise cancelling crown, or sound a little better), but these are still worth serious consideration due to comfort (and the noise cancellation and sound aren't bad either!).","5.0 out of 5 stars","Next page→","https://www.amazon.com/Bose-QuietComfort-Bluetooth-Headphones-Noise-Cancelling/product-reviews/B0756CYWWD/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews&sortBy=helpful"
"1574952513-2502","https://www.amazon.com/product-reviews/B0756CYWWD/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Jackson Roykirk","Excellent product","December 12, 2018","Really like these headphones.  Bought them for travel on airplanes.  Noise reduction freak'n excellent.  All the noise is cut out but yet I can hear the announcements.  Use them to watch TV also.  The only down side to these things is for Apple products, you can only have two devices enabled to be connected to them.  So if I want to use my iPad, iPhone, and Apple TV, one of these I have to disable and then when traveling switch to the devices I have with me; this (feature) is active no matter what device you are using to connect to the headphones.  So for the iPhone and the iPad, you need a Bose app to configure the headphones.  The app is the same for each device.  Each app will only allow you to connect to two devices and they are the same for each device if this makes sense.  This must be a limitation of the headphones and I can't figure out why there would be such a limitation.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Bose-QuietComfort-Bluetooth-Headphones-Noise-Cancelling/product-reviews/B0756CYWWD/ref=cm_cr_arp_d_paging_btm_30?ie=UTF8&pageNumber=30&reviewerType=all_reviews&sortBy=helpful"
"1574952481-2351","https://www.amazon.com/product-reviews/B0756CYWWD/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Donald S.","The best!!!","October 30, 2018","Bought these pending an international vacation and knowing I'd be on an airplane for hours.  Took them with me, listened to an entire book and was worried they'd go dead part way through.  No way, they were still 70% charged.  I listened to the book, watched 2 movies and a tone of music and I never recharged them.  They just kept on working.  They're so quiet to outside noise.  Love them, can't recommend them enough and if you travel or are around others where the noise is bothersome, they're the only way to go.  Well worth the money and they're quality in their design, materials and comfort!!!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Bose-QuietComfort-Bluetooth-Headphones-Noise-Cancelling/product-reviews/B0756CYWWD/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews&sortBy=helpful"
"1574952461-2262","https://www.amazon.com/product-reviews/B0756CYWWD/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Keith Goreham","Wonderful Hardware Let Down By Poor Software","December 2, 2017","This review would be 5 stars if not for one very bad flaw in these headphones. The moment you make a call, the noise canceling turns off and you (and whoever you're calling) will hear everything around you – amplified – while you're on the phone. It's so bad that I have to use my old QC25 wired headphones for calls (which work perfectly for this), and only use the QC35-S2's for wireless listening to music/podcasts/tv while doing other things. This is beyond ridiculous for headphones of this price.

As for their performance purely as listening devices, the noise canceling is slightly (but only slightly) better than the wired QC25's, but the tonal range is slightly worse in the base tones. Their ability to connect to multiple devices is great, but suffers from a tendency for them to want to connect to multiple devices AT ONCE (iphone + something else, for instance), which about half the time causes no audio to be played through them at all, even though the source is muted when they're selected. You then have to remove them from each device you've paired them to, and start over to get sound back.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Bose-QuietComfort-Bluetooth-Headphones-Noise-Cancelling/product-reviews/B0756CYWWD/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews&sortBy=helpful"
"1574952511-2496","https://www.amazon.com/product-reviews/B0756CYWWD/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","DaveH","Garbled when used with Sony AV amplifiers","March 18, 2019","I use a Sony 1080 AV amp. After initial bluetooth pairing, the Bose were almost unintelligible. After going thru the logical troubleshooting, like checking sound quality with other devices (which sounded fine), I began looking for posts on the Sony specific problem. Lo and behold, on the Bose community site, others have posted the same issue of sound quality with Sony amps. Bose response to the issue is ""must be a Sony issue, call them"". But my older Bose  AE2W bluetooth headphones work perfectly with the Sony amp. Don't you just love it when something doesn't work and companies point fingers at each other? So in the end, these Bose are going back, and ordering some M3s.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Bose-QuietComfort-Bluetooth-Headphones-Noise-Cancelling/product-reviews/B0756CYWWD/ref=cm_cr_arp_d_paging_btm_29?ie=UTF8&pageNumber=29&reviewerType=all_reviews&sortBy=helpful"
