web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1574952933-3354","https://www.amazon.com/product-reviews/B01NAJGGA2/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","RottieNut","Awesome! Except one thing...","November 2, 2018","I love these headphones! They are nice at work to drown out the sounds of the cube farm. They hold a nice charge. I ordered these in January and, even with daily, cordless use with Bluetooth connected to my phone, I've only had to charge them three times! They are fairly light but I do move them around a bit during use or I get a sore spot on my head. The volume controls for the music are perfect. It's a bit weird to have a phone conversation with them on because it's hard to hear yourself talking to the person on the other end. They can hear me just fine I just have to be careful not to yell. I didn't purchase them for phone conversations so it's not a big deal.

So, they're near perfect. Why did I give them 4 stars? I had to knock down my rating from 5 stars to 4 because the voice prompts are obnoxiously loud! If I'm listening to my usual classical music and a call comes in on my cell phone (I'm obviously connected via Bluetooth) I nearly hit the ceiling because the voice prompt is so loud! When I turn the headphones on and off I put them over my leg and my coworkers a couple of cubicles away can hear the voice prompt. There is no way I can turn them on/off with the headphones on my ears.

They're great headphones, especially for the price, but I wish there was a way to turn the voice prompt down.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Mpow-Bluetooth-Headphones-Wireless-Memory-Protein/product-reviews/B01NAJGGA2/ref=cm_cr_arp_d_paging_btm_25?ie=UTF8&pageNumber=25&reviewerType=all_reviews&sortBy=helpful"
"1574952909-3241","https://www.amazon.com/product-reviews/B01NAJGGA2/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","A. Landry","Just STUNNING!","August 7, 2018","From the outset, let me say that I am not a headphone person, although I do own a number of headphone and ear bud types ranging from fairly low cost ones to some costing a few hundred dollars.  I do use them from time to time, but always felt restricted by the cable and by the inevitable discomfort if I wore them for any length of time.  I have never owned a Bluetooth headphone frankly because of the expense and my overall dissatisfaction with earphones.  For the record, I am a mid-60 year old audio-aholic (someone who loves music to the extreme in all forms and types and formats) and over the past few years have returned to my analog roots - vinyl (played on my several turntables and cartridges), and cassettes (played on nice Nakamichi systems).  But I also have my pulse on the digital front too with a number of DAPs, iPods, FLAC-capable systems and the like.  Bottom line, I know my music from 50 years of playing it.  So tonight, after my Mpow 059 headphones arrived from Amazon, I charged them for a couple of hours on my MacBook, paired them and turned on my large New Age Mix.  That was three hours ago, and these phones are effortless and transparent!  I have to say that I am blown away that for less than $30 I received one of the best-sounding, highest quality, most capable headphones I have ever purchased.  They truly are remarkable!  Are they as good as my higher end phones?  I will leave that for now, but something tells me that if you try these out, you will not touch your more expensive wired headphones for awhile!  Just saying....","5.0 out of 5 stars","Next page→","https://www.amazon.com/Mpow-Bluetooth-Headphones-Wireless-Memory-Protein/product-reviews/B01NAJGGA2/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews&sortBy=helpful"
"1574952909-3248","https://www.amazon.com/product-reviews/B01NAJGGA2/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Damon L","Ideal headphones for most people","January 30, 2019","I bought these for my daughter.  I was  a bit hesitant with such a low price.  What a surprise!  I went for a walk and used them.  Excellent passive noise reduction.  The sound, we'll balanced.  I am a Bose fan, and that's the nearest I can compare to as far as balance.  The do not feel like a $30 set of headphones, very solid build.  I am going to order my own.  Currently I have the Quitecomfort - I believe 25 - not blue tooth.  If Bose is an A+, these would be a B+ to A-.  I think the passive noise reduction is actually better in these.  But when you factor in $30 - they are a better deal than the Bose and any other popular brand.  The only folks I would not recommend these too are heavy base loving folks and sound snobs for lack of better word.  The folks where it has to be perfect sound - they wouldn't even consider it.  For most folks, these are ideal.  The best return for the value.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Mpow-Bluetooth-Headphones-Wireless-Memory-Protein/product-reviews/B01NAJGGA2/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews&sortBy=helpful"
"1574952903-3215","https://www.amazon.com/product-reviews/B01NAJGGA2/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Ammy Woodbury","Really good for the price","May 17, 2019","I looked at everything from these to top of the line Sony and Bose. What's great about these headphones is that they do a decent job (far better than the Plantronics I spent too much on!) and I don't worry they'll be stolen off my desk. And if they are, meh, I'll spend another $30 and get another pair. Seriously, that peace of mind is worth a lot. They pair gracefully with phone and computer, worked well for a Zoom meeting, worked well for listening to the KQED stream, my music library, and Spotify, and block out enough ambient noise to let me focus on my work. Plus, with Bluetooth, I can run to the bathroom when I need to without having them accidentally ripped off my head when I forget they're there. I got a deal and I think they were really only $28. For that price, I should've bought two. If they last five months, I'm winning. Totally competent, comfy to wear all day, and not so expensive you fret about them. For me, that's solid gold.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Mpow-Bluetooth-Headphones-Wireless-Memory-Protein/product-reviews/B01NAJGGA2/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews&sortBy=helpful"
"1574952899-3195","https://www.amazon.com/product-reviews/B01NAJGGA2/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Cayton Keller","Loved them until recently","April 1, 2019","I got these headphones at the end of May in 2018. I use them twice a month for a live seminar I am required to attend via computer. This seminar didn't start until July and its April 1st, so you think they have been used literally 18 times. Well when I went to use them for my seminar last week, they have shorted out. :( The only way that they work and actually produce sound is if they are plugged up to the charger during use which totally defeats the purpose of blue tooth right? They have not been banged around or misused so there is absolutely no reason this should have happened, especially with such little use. Also, I have tried multiple charges and it makes no difference. The headphones just crapped out on me which sucks because they were so comfortable and produced great sound. I was going to put these in my kids Easter baskets but now I am unsure what to do.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Mpow-Bluetooth-Headphones-Wireless-Memory-Protein/product-reviews/B01NAJGGA2/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews&sortBy=helpful"
"1574952890-3160","https://www.amazon.com/product-reviews/B01NAJGGA2/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","K&L","Awesome set of cans!","December 4, 2018","UPDATE #1
13 months after purchase, the headband cracked. Mpow had a replacement to me within the week, free of charge. I can't say enough good things about their customer service or their product. They have a lifetime customer in me.

************

I love these headphones. The ear cups are super comfortable! No active noise cancelling; but with the over the ear model, it wasn't needed. I wear them everywhere! Doing yardwork, in the office to tune out loud colleagues, plane trips to block out sound, and everywhere in between. Couldn't ask for a better set! The only downside is I only ordered one pair for me. The kids can't wait for me to walk in the door from work. I would like to think it's cause they're excited to see me, but they just want to steal my headphones.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Mpow-Bluetooth-Headphones-Wireless-Memory-Protein/product-reviews/B01NAJGGA2/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews&sortBy=helpful"
"1574952912-3259","https://www.amazon.com/product-reviews/B01NAJGGA2/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Wheelguner","Very comfortable","January 23, 2019","I want to point out that the rating I gave for battery is due to lack of time spent using them. I was going to wait until I had more time with them before posting a review. I received an email from the vendor (which is not always done) asking if I had received the headphones and if I had any issues with them. The email included a link and asked for a review and her I am. The headphones appear to be very well made of excellent materials. The instructions, although tiny as is common today, were adequate and  they paired to my Pixel II flawlessly. It was a bit more involved to pair with my laptop but that is Win10 and no fault of MPOW's. So far I am very satisfied and would recommend them. I will update this review after using long enough to accurately comment on battery life. 08MAY2019 Update on battery as promised. Using them as I normally do, I have not depleted the battery and occasionally charge them just to be on the safe side.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Mpow-Bluetooth-Headphones-Wireless-Memory-Protein/product-reviews/B01NAJGGA2/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews&sortBy=helpful"
"1574952884-3129","https://www.amazon.com/product-reviews/B01NAJGGA2/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Robert Russell","Great Sound for Budget Headphones","February 24, 2017","I've really enjoyed these MPow Bluetooth Headphones, especially for the price.  At an entry level price, you get good sound and long battery life.  It doesn't have the really deep bass like some other headphones do, but they offer decent balanced sound.  If you wear them for more than an hour, it could start to hurt your ears if you have larger ears.  If you use the bluetooth feature, make sure you either turn your headphones or phone volume all the way up to maximize your volume.  With one turned all the way up then you can control the volume with the other device.

They pair really fast with an iPhone 6S Plus and they have audio cues to let you know what mode the headphones are in.

Making a call was clear, but having my voice muffled by the over-the-ear style headphones isn't ideal for me, so I probably wouldn't use them for long calls.

While they don't have active noise cancellation, they do a good job at keeping background noise out because of the style.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Mpow-Bluetooth-Headphones-Wireless-Memory-Protein/product-reviews/B01NAJGGA2/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews&sortBy=helpful"
"1574952909-3244","https://www.amazon.com/product-reviews/B01NAJGGA2/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","chris","Good headphones especially for the price.","September 28, 2017","I had the older style before. Bluetooth on these is way better then the old pair you can actually walk 20-30 feet from the device even with a wall I'm between, where the old model had trouble if I put my phone in my pocket. Sound is similar to the old pair it's pretty good but not amazing sounding. I like the headphone controls they are more intuitive then most I have seen, although you do hear it pretty loudly when you click a button with the headphones on. One con that I noticed is that if you use these while working out your ears will get pretty sweaty. Update. I've had these over a year now, and I am really impressed with these headphones. I actually changed it from 4 to 5 stars, I stand by everything I said before, and if I were to add anything I would say they aren't very noise isolating, but overall I have been very satisfied with their performance and battery life.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Mpow-Bluetooth-Headphones-Wireless-Memory-Protein/product-reviews/B01NAJGGA2/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews&sortBy=helpful"
"1574952931-3348","https://www.amazon.com/product-reviews/B01NAJGGA2/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","SDite","Stopped working....Mpow replaced them","June 24, 2019","It was great until the left side stopped working after just 6 months. Before I was going to throw them in the trash, I wanted to try and fix them. Unfortunately, they're sealed and can't be taken apart. So I just hit it with my fist a couple of times. VOILA!!! The left channel started to work again. I'm assuming the left channel will go out again, sooner than later....

UPDATE: Mpow contacted me and replaced the headphones. So far the new ones sound fine. GREAT customer service!!! It's nice to work with a professional company that stands by their products.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Mpow-Bluetooth-Headphones-Wireless-Memory-Protein/product-reviews/B01NAJGGA2/ref=cm_cr_arp_d_paging_btm_24?ie=UTF8&pageNumber=24&reviewerType=all_reviews&sortBy=helpful"
