web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1574954404-5424","https://www.amazon.com/product-reviews/B07G3JMPBZ/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Ryan L.","Falling apart in 6 months.","November 8, 2019","Enjoyed using these while running, as they still allow me to hear what's going on around me. In the past week, the rubber cover for the speaker has come unglued, and now they're no longer usable. The warranty period apparently ended after 6 months, which is just about exactly how long these last. For the price, I would look elsewhere.","1.0 out of 5 stars","Next page→","https://www.amazon.com/AfterShokz-Conduction-Headphones-Reflective-AS600SG-BR/product-reviews/B07G3JMPBZ/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&pageNumber=23&reviewerType=all_reviews&sortBy=helpful"
"1574954381-5313","https://www.amazon.com/product-reviews/B07G3JMPBZ/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Neon Glitch","Returning This Product","December 2, 2018","Terrible sound quality. It is light weight because it is made of very cheap material. Would not recommend. I am currently in the process of returning this item.","1.0 out of 5 stars","Next page→","https://www.amazon.com/AfterShokz-Conduction-Headphones-Reflective-AS600SG-BR/product-reviews/B07G3JMPBZ/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews&sortBy=helpful"
"1574954402-5413","https://www.amazon.com/product-reviews/B07G3JMPBZ/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","C. Stevenson","I'll keep it BUT what u should know","July 1, 2019","1- Get the mini or else it will protrude and u cant lay your head back without hitting it and then u will need to re-adjust it.
2- The higher the volume it will vibrate.
3- Doesn't get loud enough.","3.0 out of 5 stars","Next page→","https://www.amazon.com/AfterShokz-Conduction-Headphones-Reflective-AS600SG-BR/product-reviews/B07G3JMPBZ/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&pageNumber=22&reviewerType=all_reviews&sortBy=helpful"
"1574954385-5332","https://www.amazon.com/product-reviews/B07G3JMPBZ/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","James R.","Life changing!","January 30, 2019","These headphones are a necessity!  I have a long commute every day, and these are great for any phone calls I have to make.  The clarity is great, and everyone, including my hard of hearing dad, hears just fine.  I love these for working out.  I either listen to music or an audiobook and I just go.  I work at a place where I need to be aware of my environment such as phone calls and customers coming into the store, and these help my workday go by much faster but I'm still able to perform at a high level and finish the day strong because of my increased happiness from the music!  I also love the ability to access siri through these things.  When you hold down the main button the headphones say ""voice dial"", but in essence you've accessed Siri or whatever you have on your device.  You can then tell your phone to do whatever you need just like you regularly do.
Love this device, and I can't wait to see any new product releases in the future!","5.0 out of 5 stars","Next page→","https://www.amazon.com/AfterShokz-Conduction-Headphones-Reflective-AS600SG-BR/product-reviews/B07G3JMPBZ/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&pageNumber=14&reviewerType=all_reviews&sortBy=helpful"
"1574954387-5341","https://www.amazon.com/product-reviews/B07G3JMPBZ/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","jonathan","Cool beans.","August 7, 2019","I needed to purchase these for my work and the amount of noise there is incredible. Considering that these have worked surprisingly well! If I had to discribe the sound quality it's subpar unless you are using ear plugs. With these being bone conduction they work a lot better and sound 100x better while wearing ear plugs.  There is a downside to that though since this causes added pressure which causes some irritation.

The size honestly for me seemed perfect but they also looked a little small to me so I was surprised with how well they fit.

Not sure why people are complaining about noise cancelation as there is no genuine way for these to do so unless you count the ear plugs they came with as noise cancelation.

 As an over all I thought these headphones were great.","4.0 out of 5 stars","Next page→","https://www.amazon.com/AfterShokz-Conduction-Headphones-Reflective-AS600SG-BR/product-reviews/B07G3JMPBZ/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&pageNumber=15&reviewerType=all_reviews&sortBy=helpful"
"1574954367-5254","https://www.amazon.com/product-reviews/B07G3JMPBZ/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Mags","Knockoffs?","October 3, 2019","I tries these at a store and they were awesome. The sound just came from the vibration, which I liked because then you didnt have ear pieces where everyone around you could hear the music. These are not that. They dont vibrate at all and the sound just comes out of speakers near the ears so basically everyone around you can hear what you're listening to. I can just hold them in my hand and hear everything. Not bone conducting headphones at all and not the aftershokz that I tried at the store, either.","1.0 out of 5 stars","Next page→","https://www.amazon.com/AfterShokz-Conduction-Headphones-Reflective-AS600SG-BR/product-reviews/B07G3JMPBZ/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews&sortBy=helpful"
"1574954402-5411","https://www.amazon.com/product-reviews/B07G3JMPBZ/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Rajagopal","Free massages, courtesy every bassist ever.","December 15, 2018","If you're a bass player, get your friends a pair of these, and they'll finally pay attention to what you're playing. The headphones noticeably vibrate at high volume, and the bass notes and percussion come through really well.

In seriousness, wish they were a tad lighter.","5.0 out of 5 stars","Next page→","https://www.amazon.com/AfterShokz-Conduction-Headphones-Reflective-AS600SG-BR/product-reviews/B07G3JMPBZ/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&pageNumber=22&reviewerType=all_reviews&sortBy=helpful"
"1574954415-5477","https://www.amazon.com/product-reviews/B07G3JMPBZ/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Maria Carreras","Not great","July 26, 2019","This is my second pair of this brand but sadly the sound is below part. It sounds fine when i am at the house but when i go to the gym the sound breaks.","3.0 out of 5 stars","Next page→","https://www.amazon.com/AfterShokz-Conduction-Headphones-Reflective-AS600SG-BR/product-reviews/B07G3JMPBZ/ref=cm_cr_arp_d_paging_btm_28?ie=UTF8&pageNumber=28&reviewerType=all_reviews&sortBy=helpful"
"1574954409-5445","https://www.amazon.com/product-reviews/B07G3JMPBZ/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Kristina","Look elsewhere for headphones","October 28, 2019","Terribly uncomfortable. Probably the most expensive thing I’ve bought on amazon that I don’t like at all. It hurts your head if you wear them longer than 10 minutes. Not pleasant.","2.0 out of 5 stars","Next page→","https://www.amazon.com/AfterShokz-Conduction-Headphones-Reflective-AS600SG-BR/product-reviews/B07G3JMPBZ/ref=cm_cr_arp_d_paging_btm_25?ie=UTF8&pageNumber=25&reviewerType=all_reviews&sortBy=helpful"
"1574954364-5244","https://www.amazon.com/product-reviews/B07G3JMPBZ/ref=cm_cr_arp_d_viewopt_srt?reviewerType=all_reviews&pageNumber=1&sortBy=helpful","Nicholas Paul","Specific Use Case","February 20, 2019","If you are an upright runner with very little lateral motion who doesn't like to wear a hat or sunglasses while listening to music...these headphones are perfect!

Everything else, forget it. Riding a bike with a helmet is a pain, even more so when you add sunglasses. The temple point gets in the way.

I bought these for commuting...as soon as I look up, the connecting loop hits my backpack, knocks the buds off my temples...now I'm listening to music I could with my phone on speaker. A waste of time and money...I returned them.","1.0 out of 5 stars","Next page→","https://www.amazon.com/AfterShokz-Conduction-Headphones-Reflective-AS600SG-BR/product-reviews/B07G3JMPBZ/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews&sortBy=helpful"
